id_especie,nome_cientifico,nome_popular_1,genero,especie,familia,autor_nome_cientifico,municipio_coleta,estado_coleta,arvore_altura_comercial_m,arvore_dap_cm,arvore_das_cm,densidade_basica,densidade_seca,densidade_verde,densidade_aparente,contracao_tangencial,contracao_radial,contracao_volumetrica,relacao_tangencial_radial,flexao_verde_moe,flexao_verde_mor,flexao_seca_moe,flexao_seca_mor,compressao_paralela_verde,compressao_paralela_seca,compressao_perpendicular_verde,compressao_perpendicular_seca,dureza_janka_paralela_verde,dureza_janka_paralela_seca,dureza_janka_transversal_verde,dureza_janka_transversal_seca,tração_perpendicular_verde,tração_perpendicular_seca,fendilhamento_verde,fendilhamento_seca,cisalhamento_verde,cisalhamento_seca,extração_pregos_paralela_verde,extração_pregos_paralela_seca,extração_pregos_perpendicular_verde,extração_pregos_perpendicular_seca,cor_cerne_classificacao,textura,gra,brilho,cheiro,sabor,figura_tangencial,figura_radial,cerne_alburno,camadas_de_crescimento,secagem_duracao_dias,secagem_umidade_inicial,secagem_umidade_final,secagem_programa_utilizado,secagem_número_amostras,densidade_classificacao,compressaofco_classificacao,compressaofc90_classificacao,contracao_radial_classificacao,contracao_volumetrica_classificacao,dureza_paralela_classificacao,dureza_tranversal_classificacao,classificacao_tempo_secagem,Modulo_elasticidade_classificacao,cisalhamento_classificacao,dap_cm,altura_m,densidade,biomassa_kg,carbono_kg,co2_kg
175,Onychopetalum amazonicum,ENBIRA-preta,Onychopetalum,amazonicum,Annonaceae,R.E.Fr.,Curuá-Una,PA,8,48, ,"0,57","0,66","1,12", ,"8,1","4,9",14,"1,65","13,14","72,28",15,"122,78","38,05","65,21","3,33","6,47","4981,79","6668,54","4265,9","5599,61","3,24","2,35","402,07","500,14","8,73","10,2",   ,   ,   ,   ,amarela,média a grossa,direita,moderado,imperceptível imperceptível, ,"em faixas pouco destacadas,causadas por anéis de crescimento",causada por raios destacados,indistintos,distintas, , , , , ,Média,Alta,Baixa,Baixa,Média,Média,Média,Muito Lenta > 20,Alto,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
178,Ormosia paraensis,TENTO,Ormosia,paraensis,Fabaceae,Ducke,Curuá-Una,PA,10,51, ,"0,67","0,79","1,17", ,"10,3","4,7","14,7","2,19","12,94","84,53","14,61","122,78","44,91","70,61","7,94","10,59","6531,25","8659,29","6364,53","8208,19","3,63","3,63","500,14","490,33","9,41","12,75",   ,   ,   ,   ,marrom,grossa,cruzada revessa e cruzada ondulada,moderado,imperceptível imperceptível, ,"de aspecto fibroso acentuado, causado por destaque de parênquima axial e linhas vasculares","de aspecto fibroso atenuado, causado por destaque de parênquima axial e linhas vasculares",pouco distintos,indistintas,4, , ,suave, ,Média,Alta,Baixa,Baixa,Alta,Alta,Alta,Rápida - 4 a 8,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
188,Parkia paraensis,FAVEIRA / VISGUEIRO,Parkia,paraensis,Mimosaceae,Ducke,Curuá-Una,PA,13,61, ,"0,44","0,49","1,01", ,"7,6","3,5","11,9","2,17","10,2","50,99","11,47","73,55","23,14","38,64","2,94","4,61","3059,68","3912,86","2510,51","3304,85","3,14","3,43","441,3","558,98","7,65","9,61",   ,   ,   ,   ,cinza,média,cruzada irregular a direita,ausente,imperceptível imperceptível, ,causada por linhas vasculares bem destacadas,em linha vasculares destacadas,indistintos,distintas,35, , ,severo, ,Leve,Média,Baixa,Baixa,Média,Média,Baixa,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
194,Piptadenia gonoacantha = Piptadenia communis,rosaDINHO,Pouteria,anomala,Sapotaceae,(Pires) Penning.,Curuá-Una,PA,7,44,51,"0,68", ,"1,12", ,"7,4","4,5","13,3","1,64","10,69","98,56","13,44","116,01","50,21","68,65","9,02","11,47","6825,45","7217,71","7158,87","7423,65","4,81","3,73", , ,"11,67","13,14",   ,   ,   ,   ,marrom,média,cruzada irregular,médio, , ,linhas (radial), ,pouco distintos,"distintas, irregulares",215, , , , ,Média,Alta,Baixa,Baixa,Média,Média,Média,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
198,Pouteria anomala,ABIURANA,Pouteria,caimito,Sapotaceae,(Ruíz & Pav.) Radlk.,Curuá-Una,PA,9,42,50,"0,75","0,89","1,22", ,"9,4","6,3","15,2","1,49","13,83","110,32","15,89","162,69","53,05","85,12","8,34","14,02","8855,43","14347,17","8963,3","11444,39","5,2","4,51","745,31","696,27","11,67","18,93",   ,   ,   ,   ,marrom,fina,direita,moderado,imperceptível imperceptível, ,"em faixas longitudianis bem destacadas, causadas por anéis de crescimento","em faixas longitudinais bem destacadas, causadas por anéis de crescimentodistintos",pouco distintos, ,35, , ,severo, ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
200,Pouteria caimito,ABIURANA-branca,Franchetella,gongripii,Sapotaceae,(Eyma) Aubrév.,Curuá-Una,PA,7,45, ,"0,88","1,03","1,28", ,"9,4","5,3","14,5","1,77","15,98","130,72","17,55","168,48","65,12","87,67","13,73","16,28","10140,1","12797,71","11307,1","12238,73","5,3","4,9","686,47","568,79","14,32","16,38",   ,   ,   ,   ,marrom,média a fina,cruzada irregular,ausente,imperceptível imperceptível, ,não apresenta,em linhas vasculares pouco destacadas,distintos,pouco distintas,3, , ,severo, ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito rápida < 4,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
201,Pouteria caimito,ABIU-PITOMBA,Pouteria,egregia,Sapotaceae,(Sandw.) Aubr. & Pellegr.,Curuá-Una,PA,8,44,51,"0,85","0,99","1,24","0,91","9,45","5,51","14,94","1,72","13,44","113,76","14,61","149,26","53,74","76,69","12,36","12,65","9836,1","12876,16","9581,12","10963,86","4,41","8,83","519,75","833,57","11,67","13,24",   ,   ,   ,   ,marrom,fina,irregular,moderado,imperceptível, ,"pouco destacada, causada pelas linhas vasculares","pouco destacada, causada pelas linhas vasculares",distintos,pouco distintas, , , , , ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
205,Pouteria oppositifolia,ABIU-BRANCO,Pouteria,oppositifolia,Sapotaceae,(Ducke) Baehni,Curuá-Una,PA,10,63, ,"0,65","0,74","1,2", ,"7,8","4,6","12,5","1,7","10,69","86,4", , ,"43,44", ,"7,26", ,"6639,12", ,"6305,69", ,"4,41", , , , , ,   ,   ,   ,   ,marrom,fina,cruzada irregular,ausente,imperceptível imperceptível, ,não apresenta,"em linhas longitudinais pouco destacadas, causadas por anéis de crescimento",indistintos,distintas, , , , , ,Média,Alta,Alta,Baixa,Média,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
211,Protium sp.,BREU,Protium,sp.,Burseraceae,,Curuá-Una,PA,6,41, ,"0,76","0,9","1,12", ,"9,8","5,1",15,"1,92","14,02","108,95","15,49","137,98","50,7","78,94","9,12","11,57","8051,28","12238,73","7629,59","10306,82","3,73","4,71","676,66","657,05","12,16","17,85",   ,   ,   ,   ,marrom,média,cruzada irregular,moderado,imperceptível imperceptível, ,não apresenta,"causada por destaque de raios e linhas longitudinais pouco destacadas, devido a anéis de crescimento",pouco distintos a indistintos ,distintas, , , , , ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
212,Protium tenuifolium,BREU-PRETO,Protium,tenuifolium,Burseraceae,(Engl.) Engl.,Curuá-Una,PA,9,66,52,"0,63","0,72","1,03", ,"8,4","4,2",12,2,"11,77","85,71","12,65","114,15","39,32","63,25","7,35","9,22","6521,44","8982,91","5521,16","6746,99","4,12","4,9","627,63","598,21","10,1","14,61",   ,   ,   ,   ,marrom,média a fina,cruzada ondulada e cruzada irregular,ausente,imperceptível imperceptível, ,não apresenta,causada por raios destacados,pouco distintos,distintas, , , , , ,Média,Alta,Baixa,Baixa,Média,Alta,Média,Muito Lenta > 20,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
196,Pseudopiptadenia suaveolens =Piptadenia suaveolens,TIMBORANA,Piptadenia,suaveolens,Mimosaceae,Miq.,Curuá-Una,PA,10,53,53,"0,43","0,48","1,02","0,55","5,42","3,31","9,83","1,64","8,73","54,52","10,2","82,47","25,11","38,83","4,41","4,9","2971,42","5570,19","2647,8","4069,77","3,24","3,24","392,27","441,3", , ,   ,   ,   ,   ,marrom,fina,direita,ausente,imperceptível, ,"em forma de `U´ e em faixas longitudinais destacadas, causadas pelas camadas de crescimento   e em linhas vasculares pouco destacadas","em faixas longitudinais destacadas, causadas pelas camadas de crescimento   e em linhas vasculares pouco destacadas",indistintos,distintas,36,"146,8","8,5",médio,24,Leve,Média,Baixa,Baixa,Baixa,Média,Média,Muito Lenta > 20,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
220,Roupala montana,LOURO-FAIA,Roupala,montana,Proteaceae,Aubl.,Curuá-Una,PA,13,59, ,"0,77","0,93","1,24", ,"12,3","6,3",18,"1,95","14,51","97,48","16,97","158,28","48,74","82,96","8,53","10,98","7894,37","9571,31","8227,8","9649,77","5,98","6,18","774,73","853,18","10,69","15,4",   ,   ,   ,   ,cinza,grossa,direita,moderado,imperceptível imperceptível, ,"de aspecto áspero, causado pelo parênquima radial",em faixas radiais largas e contrastadas,distintos,distintas,1, , ,severo, ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito rápida < 4,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
214,Ruizterania albiflora = Qualea albiflora,MANDIOQUEIRA,Qualea,albiflora,Vochysiaceae,Warm.,Curuá-Una,PA,7,47, ,"0,57","0,67","1,14", ,"9,5","5,3","14,7","1,79","10,89","66,1","12,85","107,38","39,62","57,27","4,41","7,75","5285,8","8296,45","4383,58","6011,49","3,73","4,41","480,53","519,75","9,41","13,04",   ,   ,   ,   ,branca,média,cruzada revessa,moderado,imperceptível imperceptível, ,causada por linhas vasculares destacadas,causada por raios destacados,pouco distintos a indistintos,distintas, , , , , ,Média,Alta,Baixa,Baixa,Alta,Alta,Média,Muito Lenta > 20,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
224,Schefflera morototoni,MOROTOTÓ,Schefflera,morototoni,Araliaceae,(Aubl.) Decne. & Planch.,Curuá-Una,PA,14,55, ,"0,41","0,48","1,03", ,"9,1","6,7","15,7","1,36","8,83","39,32","11,08","71,1","17,16","39,72","1,96","4,51","2569,35","4795,46","1931,91","3510,79","2,84","3,82","333,43","608,01","6,28","10,4",   ,   ,   ,   ,branca,média,direita,moderado,imperceptível imperceptível, ,"em faixas longitudinais pouco destacadas, causadas por anéis de crescimento",causadas por raios destacados,indistintos,pouco distintas,5, , , , ,Leve,Média,Baixa,Baixa,Alta,Média,Baixa,Rápida - 4 a 8,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
238,Sterculia excelsa = Sterculia speciosa,XIXÁ,Stryphnodendron,pulcherrimum,Mimosaceae,(Willd.) Hochr.,Curuá-Una,PA,6,48,48,"0,49","0,58","1,09", ,"10,6","5,2","16,2","2,04","11,08","59,53","13,63","90,52","25,11","46,48","2,65","4,81","3520,6","4991,6","3167,56","4158,03","2,75","2,35","343,23","421,69","6,96","8,73",   ,   ,   ,   ,cinza,grossa,direita,acentuado,imperceptível imperceptível, ,causada por linhas vasculares destacadas,"em faixas radiais largas e destacadas, devido ao brilho da madeira",indistintos,pouco distintas,"0,6", , ,severo, ,Leve,Média,Baixa,Baixa,Alta,Média,Média,Muito rápida < 4,Alto,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
243,Symphonia globulifera,ANANI,Symphonia,globulifera,Guttiferae,L.f.,Curuá-Una,PA,14,74, ,"0,58","0,67","1,12", ,"7,9","4,5","13,2","1,76","11,47","76,49","13,73","109,25","38,05","61,29","5,79","7,16","5197,54","6668,54","5168,12","5599,61","4,02","3,24","441,3","323,62","8,73","10,4",   ,   ,   ,   ,marrom,média,direita,moderado,imperceptível imperceptível, ,em forma de linhas causadas por destaque de parênquima axial e faixas causadas por anéis de crescimento,em linhas causadas por destaque de parênquima axial,distintos,distintas,2, , ,suave, ,Média,Alta,Baixa,Baixa,Média,Média,Média,Muito rápida < 4,Alto,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
227,Tachigali chrysophylla =Sclerolobium chrysophyllum,TAXI-PITOMBA,Sclerolobium,chrysophyllum,Caesalpiniaceae,Poepp. & Endl.,Curuá-Una,PA,6,56,56,"0,61","0,7","1,07",,8,"4,2","12,1","1,9","11,57","78,16","13,53","114,74","43,54","56,39","5,3","8,83","7178,49","8345,48","7129,45","6305,69","4,81","4,71","578,59","509,95","11,96","15,3",   ,   ,   ,   ,amarela,média a grossa,cruzada irregular a direita,moderado,imperceptível imperceptível, ,em linhas vasculares bem destacadas e em forma de V causada por anéis de crescimento,em linhas vasculares destacadas e faixas longitudinais causadas por anéis de crescimento,indistintos ,distintas, , , , , ,Média,Alta,Baixa,Baixa,Média,Alta,Média,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
228,Tachigali paraensis = Sclerolobium paraense,TAXI-PRETO / TAXIARANA,Sclerolobium,paraense,Caesalpiniaceae,Huber,Curuá-Una,PA,6,53,51,"0,61","0,76","1,17", ,"8,3",4,"12,3","2,08","12,26","87,67","13,44","123,37","42,46","64,43","6,96","11,28","7227,52","10728,5","7060,81","8727,94",5,"4,71","657,05","666,85","12,55","17,36",   ,   ,   ,   ,marrom,média a grossa,cruzada revessa,moderado,imperceptível imperceptível, ,causadas por linhas vasculares bem destacadas,em linhas vasculares destacadas e faixas longitudinais causadas por anéis de crescimento e grã,pouco distintos,distintas,6, , ,suave, ,Média,Alta,Baixa,Baixa,Média,Alta,Alta,Rápida - 4 a 8,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
229,Tachigali poeppigiana = Sclerolobium poeppigianum,TAXI-PITOMBA,Sclerolobium,poeppigianum,Caesalpiniaceae,Baill.,Curuá-Una,PA,12,51,51,"0,65","0,74","1,17", ,"8,1","4,2","12,6","1,93","12,65","92,67","13,14","128,76","46,48","67,67","5,88","10,4","6639,12","7982,63","6325,31","6580,28","4,22","4,81","529,56","637,43","10,59","17,75",   ,   ,   ,   ,cinza,média a grossa,cruzada irregular a direita,moderado,imperceptível imperceptível, ,em linhas vasculares bem destacadas e em forma de V causada por anéis de crescimento,em linhas vasculares destacadas e em faixas longitudinais causadas por anéis de crescimento,indistintos ,distintas, , , , , ,Média,Alta,Baixa,Baixa,Média,Alta,Média,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
256,Tetragastris altissima,BREU-MANGA,Tetragastris,altissima,Burseraceae,(Aubl.) Sw.,Curuá-Una,PA,6,45, ,"0,74","0,85","1,04", ,9,"4,6",13,"1,96","12,45","99,73","14,32","134,65","52,17","76,39","9,81","15,2","9590,93","12013,18","8826,01","9649,77","6,77","6,47","696,27","686,47","12,75","17,95",   ,   ,   ,   ,cinza,média,cruzada revessa,moderado,imperceptível imperceptível, ,em linhas causadas por anéis de crescimento pouco destacados e pela grã revessa,"em faixas longitudinais pouco destacadas, causadas por anéis de crescimento e grã",indistintos,distintas, , , , , ,Pesada,Alta,Baixa,Baixa,Média,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
257,Tetragastris panamensis,BARROTE,Tetragastris,panamensis,Burseraceae,(Engl.) O.Kuntze,Curuá-Una,PA,6,47,53,"0,77","0,92","1,2", ,"9,9","5,1",15,"1,94","11,77","94,93","13,24","122,49","47,76","68,74","10,69","14,12","8875,04","13582,24","8541,61","11287,48","5,88","5,3","725,69","794,34","14,42","20,1",   ,   ,   ,   ,marrom,media a fina,cruzada irregular,ausente,imperceptívelimperceptível, , Figura tangenciai: em manchas longitudinais irregulares causadas por anéis de crescimento,"em linhas longitudinais pouco destacadas,causadas por anéis de crescimento, com presença de pequenas linhas radiais escuras e raios destacados",pouco distintos,distintas,9, , ,suave, ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,"Moderadamente Rápida - 8,1 a 12",Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
259,Trattinnickia burserifolia,AMESCLA,Trattinnickia,cf. burseraefolia,Burseraceae,(Mart.) Willd.,Curuá-Una,PA,9,39, ,"0,5","0,57","1,1", ,"6,8","4,1","11,7","1,66","9,71","50,7","10,98","64,14","27,56","45,11",,"5,79","4452,23","5099,47", , ,"3,04","3,63", ,"568,79","9,22","9,9",   ,   ,   ,   ,marrom,media,cruzada irregular,moderado,imperceptível imperceptível, ,não apresenta,"causada por destaque de raios e linhas longitudinais pouco destacadas, devido a anéis de crescimento",pouco distintos a indistintos,distintas, , , , , ,Média,Média,Baixa,Baixa,Média,Média,Alta,Muito Lenta > 20,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
260,Trichilia lecointei,PRACUÚBA-DA-TERRA-FIRME,Trichilia,lecointei,Meliaceae,Ducke,Curuá-Una,PA,6,45, ,"0,9","1,04","1,27", ,"8,2","4,4","13,2","1,86","13,34","105,52","16,38","157,69","54,43","86,4","13,73","18,24","8502,39","13062,49","10179,33","14052,97","5,59","5,2","696,27","627,63","14,51","18,53",   ,   ,   ,   ,marrom,média a fine,cruzada irregular,ausente,fraco e característico, ,"em manchas longitudinais irregulares, causadas por anéis de crescimento","em faixas longitudinais pouco destacadas, causadas por anéis de crescimento e grã",distintos,distintas,4, , ,suave, ,Pesada,Alta,Baixa,Baixa,Média,Alta,Alta,Rápida - 4 a 8,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
261,Vantanea parviflora,UXIRANA,Vantanea,parviflora,Humiriaceae,Lam.,Curuá-Una,PA,9,49,52,"0,86","1,04","1,2", ,"10,3","8,2","17,6","1,26","16,28","123,47","17,55","169,85","65,02","86,4","9,71","15,2","10542,18","15435,71","10228,36","13111,52","5,79","4,71","706,08","568,79","13,34","17,75",   ,   ,   ,   ,marrom,média,direita a cruzada revessa,moderado,imperceptível imperceptível, ,causada por linhas vasculares destacadas,em linhas longitudinais pouco destacadas,indistintos,indistintas,8, , ,suave, ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Rápida - 4 a 8,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
263,Vatairea paraensis,FAVEIRA-AMARGOSA,Vatairea,paraensis,Fabaceae,Ducke,Curuá-Una,PA,10,53,53,"0,78","0,9","1,24", ,"9,8","4,8",14,"2,04","13,44","119,54",15,"148,37","54,82","77,77","7,94","12,85","6815,64","9159,43","7305,97","9669,38","3,92","4,12","686,47","637,43","14,22","15,79",   ,   ,   ,   ,marrom,média a grossa,cruzada revessa,ausente,fraco e agradável, ,"de aspecto fibroso atenuado, causado por destaque de parênqulma axial e linhas vasculares","de aspecto fibroso atenuado, causado por destaque de parênquima axial e linhas vasculares",distintos,indistintas, , , , , ,Pesada,Alta,Baixa,Baixa,Média,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
265,Vatairea sericea,ANGELIM-AMARGOSO,Vatairea,sericea,Fabaceae,Ducke,Curuá-Una,PA,8,51,51,"0,71","0,82","1,22", ,"8,4","4,5","13,9","1,87","13,14","98,36","14,91","135,43","49,72","64,82","8,24","11,18","7266,75","7649,21","7472,69","7894,37","4,22","3,53","539,37","490,33","11,38","13,83",   ,   ,   ,   ,marrom,média a grossa,cruzada irregular,ausente,imperceptível imperceptível, ,de aspecto fibroso atenuado causado por destaque de parênquima axial e linhas vasculares,de aspecto fibroso atenuado causado por destaque de parênquima axial e linhas vasculares,distintos,indistintas,5, , , , ,Média,Alta,Baixa,Baixa,Média,Média,Alta,Rápida - 4 a 8,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
272,Vochysia guianensis,QUARUBA,Vochysia,guianensis,Vochysiaceae,Aubl.,Curuá-Una,PA,10,45, ,"0,54","0,64","1,14", ,"11,5",5,"17,5","2,3","11,28","70,02","14,02","121,31","29,03","65,31","3,82","6,77","4001,12","7776,69","3775,57","6962,74","3,43","4,81","470,72","598,21","6,96","12,26",   ,   ,   ,   ,rosa,média a grossa,cruzada revessa,moderado,imperceptível imperceptível, ,"em linhas longitudinais, causadas por anéis de crescimento","causada por destaque de raios e linhas longitudinais pouco destacadas, devido a anéis de crescimento",distintos,pouco distintas, , , , , ,Média,Alta,Baixa,Baixa,Alta,Média,Média,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
275,Vochysia guianensis = Vochysia melinoni,QUARUBA,Vochysia,melinoni,Vochysiaceae,Benkmann,Curuá-Una,PA,11,49, ,"0,51","0,59","1,15", ,"10,8","4,7","14,1","2,3","9,22","55,7","11,87","97,77","28,73","53,84","3,63",5,"4324,74","6913,71",4109,"5736,9","3,33","4,22","402,07","686,47","8,43","11,77",   ,   ,   ,   ,rosa,média a grossa,cruzada irregular,moderado,imperceptível imperceptível, ,"em forma de V, causada por anéis de crescimento","causada por raios destacados e faixas longitudinais estreitas, devido a anéis de crescimento",distintos,distintas, , , , , ,Média,Alta,Baixa,Baixa,Alta,Média,Média,Muito Lenta > 20,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
273,Vochysia maxima,QUARUBA,Vochysia,maxima,Vochysiaceae,Ducke,Curuá-Una,PA,12,61, ,"0,49","0,57","1,11", ,"8,8",4,"12,1","2,2","9,32","60,51","11,18","91,2","29,42","47,56","4,81","5,69","4334,55","5491,74","4256,1","4717,01","3,73","3,43","421,69","500,14","8,43",10,   ,   ,   ,   ,rosa,média a grossa,cruzada revessa,ausente imperceptível,imperceptível, ,"em forma de V, causada por anéis de crescimento destacados","em faixas longitudinais estreitas, causadas por anéis de crescimento",pouco distintos,distintas,5, , , , ,Leve,Média,Baixa,Baixa,Média,Média,Média,Rápida - 4 a 8,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
276,Vochysia obidensis,QUARUBA,Vochysia,obidensis,Vochysiaceae,(Huber) Ducke,Curuá-Una,PA,10,53, ,"0,5","0,58","1,08", ,10,"3,2","12,7","3,13","9,71","60,11","12,45","100,62","29,81","52,96","4,31","5,98","4462,04","6717,57","4197,26","5246,57","3,73","4,22","451,11","568,79","7,75","10,3",   ,   ,   ,   ,rosa,média,cruzada revessa,moderado,imperceptível imperceptível, ,"em faixas pouco destacadas, causadas por anéis de crescimento","causada por destaques de raios e linhas longitudinais pouco destacadas, devido a anéis de crescimento",distintos,distintas,4, , , , ,Média,Alta,Baixa,Baixa,Média,Média,Média,Rápida - 4 a 8,Médio,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
277,Xylopia nitida,EMBIRA-branca,Xylopia,nitida,Annonaceae,Dunal,Curuá-Una,PA,9,46,49,"0,56","0,66","1,09", ,"11,4","6,7","16,6","1,7","13,83","68,06","15,89","116,99","34,81","62,08","3,43","5,69","4069,77","6560,67","3383,3","4971,98","3,04","2,26","362,85","470,72","7,75","8,43",   ,   ,   ,   ,oliva,media,direita,moderado,imperceptível imperceptível, ,"em faixas bem destacadas, causadas por anéis de crescimento","causada por raios pouco contrastados e faixas longitudinais, devido aos anéis de crescimento",indistintos,distintas,22, , , , ,Média,Alta,Baixa,Baixa,Alta,Média,Média,Muito Lenta > 20,Alto,Médio,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
5,Allantoma lineata,SERU,Allantoma,lineata,Lecythidaceae,(Mart. ex Berg.) Miers,Flona de Caxiuanã,PA,6,54, ,"0,6","0,69","1,21","0,75","7,5","5,5","11,6","1,36",10,"64,82","12,75","114,84","28,34","57,96","5,3","11,28","4148,22","4942,56","4344,36","5128,89","3,33","3,04","480,53","500,14","7,94", ,"696,27",   ,"1.098,35",   ,marrom,fina,direita a revessa,ausente,imperceptível, ,"pouco destacada, em faixas longitudinais e em forma de V, causadas pelas camadas de crescimento e em ondulações, devido ao parênquima axial","pouco destacada, em faixas longitudinais, causadas pelas camadas de crescimento",distintos,distintas a pouco distintas,3, , ,médio, ,Média,Alta,Baixa,Baixa,Média,Média,Média,Muito rápida < 4,Médio,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
18,Aspidosperma desmanthum,ARARACANGA,Aspidosperma,desmanthum,Apocynaceae,Benth. ex Müll.Arg.,Flona de Caxiuanã,PA,16,61, ,"0,69","0,8","1,22","0,82",9,"5,8","14,5","1,55","12,65","91,89","14,61","132,98","47,07","67,86","7,45","11,87","6943,13","9247,69","6825,45","7815,92","5,1","2,94","696,27","549,17","10,98","12,65","1.166,99","1.225,83",   ,   ,amarela,média,revessa,ausente,imperceptível, ,causada pelas linhas vasculares e de aspecto fibroso atenuado,"pouco destacada, causada pela grã, linhas vasculares e camadas de crescimento",distintos,distintas,38,"76,1","10,8",suave,22,Média,Alta,Baixa,Baixa,Alta,Alta,Média,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
49,Caraipa densifolia,CAMAÇARI,Caraipa,densifolia,Guttiferae,Mart.,Flona de Caxiuanã,PA,11,51, ,"0,63","0,74","1,21","0,79","9,9","6,5","15,6","1,52","12,45","79,04","14,81","129,25","35,99","64,82","4,61","9,12","4962,18","8698,52","4589,52","6766,61","3,73","3,63","549,17","578,59","9,41","12,75","774,73","1.314,09","1.245,45","1.814,23",marrom,média,direita a revessa,ausente,imperceptível, ,"pouco destacada, causada pelas linhas vasculares","pouco destacada, causada pelas linhas vasculares e pelo contraste dos raios",pouco distintos,distintas,9, , , , ,Média,Alta,Baixa,Baixa,Alta,Alta,Média,"Moderadamente Rápida - 8,1 a 12",Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
76,Couepia robusta,CASTANHA-DE-CUTIA,Couepia,robusta,Chrysobalanaceae,Huber,Flona de Caxiuanã,PA,13,57, ,"0,83","0,99","1,21","1,03",11,"5,8","15,7","1,9","13,04","102,09","15,59","154,55","46,97","78,85","12,06","19,02","9649,77","13346,88","10591,21","14258,91","2,55","3,92","519,75","578,59","10,69","13,04","1.559,26",   ,"1.853,46",   ,marrom,média,direita a revessa,ausente,imperceptível, ,"pouco destacada, causada pelas linhas vasculares e em ondulações, devido ao parênquima axial","pouco destacada em faixas longitudinais, causadas pelas camadas de crescimento",pouco distintos,indistintas, , , , , ,Pesada,Alta,Baixa,Baixa,Alta,Alta,Alta,Muito Lenta > 20,Alto,Alto,30,15,0.6,439.2344978610918,206.44021399471313,757.6355853605971
